Genre,Tâche
Femme,"• Jeudi 18h – 60.0 min
• Vendredi 18h – 60.0 min
• Samedi 18h – 60.0 min"
Femme,"• Jeudi 18h – 60.0 min
• Vendredi 20h30 – 15.0 min
• Samedi 9h15 – 15.0 min
• Samedi 18h – 30.0 min
• Samedi 20h30 – 15.0 min
• Dimanche 9h15 – 15.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Jeudi 20h30 – 15.0 min
• Vendredi 11h – 60.0 min
• Samedi 11h – 60.0 min
• Dimanche 9h15 – 15.0 min"
Femme,"• Jeudi 20h45 – 15.0 min
• Vendredi 13h30 – 15.0 min
• Vendredi 18h – 30.0 min
• Vendredi 20h45 – 15.0 min
• Samedi 11h – 60.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Jeudi 20h45 – 15.0 min
• Vendredi 13h45 – 15.0 min
• Vendredi 18h – 30.0 min
• Vendredi 20h45 – 15.0 min
• Samedi 13h30 – 15.0 min
• Samedi 18h – 30.0 min
• Samedi 20h45 – 15.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Vendredi 9h – 15.0 min
• Vendredi 13h45 – 15.0 min
• Vendredi 18h – 30.0 min
• Samedi 9h – 15.0 min
• Samedi 13h45 – 15.0 min
• Samedi 18h – 30.0 min
• Samedi 20h45 – 15.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Vendredi 9h15 – 15.0 min
• Vendredi 18h – 30.0 min
• Vendredi 18h – 30.0 min
• Samedi 13h45 – 15.0 min
• Samedi 18h – 30.0 min
• Dimanche 9h – 15.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Vendredi 9h15 – 15.0 min
• Vendredi 18h – 30.0 min
• Vendredi 18h – 60.0 min
• Samedi 18h – 30.0 min
• Dimanche 11h – 30.0 min"
Femme,"• Vendredi 11h – 60.0 min
• Samedi 9h15 – 15.0 min
• Samedi 18h – 30.0 min
• Samedi 18h – 60.0 min"
